Word,Inverted List
prefeito,{(131 1) (71 1) (1 1) (41 1)}
rio,{(137 1) (58 1) (78 4) (11 2) (119 2) (66 1) (48 1) (113 2) (70 2) (88 2) (54 1) (64 3) (97 1) (18 1) (8 3) (22 2) (21 1) (3 1) (16 1) (55 3) (78 1) (38 2) (57 1) (131 6) (121 1) (4 1) (1 1)}
bispo,{(91 2) (1 1)}
marcelo,{(43 1) (58 1) (35 1) (52 1) (1 1)}
crivella,{(1 1)}
achou,{(1 1) (95 1)}
explicação,{(1 1) (10 1) (31 1)}
obsessão,{(1 1)}
evangélicos,{(5 1) (1 1) (5 3)}
israel,{(22 2) (12 1) (76 1) (17 1) (81 1) (16 1) (1 1) (103 2)}
ramos,{(73 1) (1 1)}
mesma,{(94 1) (131 2) (122 1) (55 2) (66 1) (1 1) (28 1) (23 1) (108 1) (136 1) (109 4) (53 2) (116 1) (52 1) (98 1) (80 1) (78 1) (121 1) (88 1) (86 1) (129 1)}
árvore,{(11 2) (1 1)}
jesus,{(5 1) (1 1) (55 1)}
judeu,{(5 1) (4 1) (1 1)}
disse,{(12 1) (9 1) (20 3) (48 1) (61 1) (56 3) (6 2) (28 1) (54 1) (100 1) (31 1) (64 1) (101 4) (123 1) (41 1) (103 1) (113 1) (55 3) (38 2) (119 1) (121 3) (1 1) (63 1) (99 1) (137 3) (80 2) (115 1) (82 1) (5 3) (65 2) (13 1) (76 2) (95 1) (26 1) (107 2) (3 1) (111 1) (92 2) (4 3) (88 1) (101 1) (19 1) (68 1)}
entrevista,{(12 1) (137 1) (13 2) (71 1) (88 6) (38 1) (75 2) (84 1) (66 1) (53 3) (92 1) (51 1) (95 1) (103 1) (8 1) (3 1) (16 1) (78 1) (124 1) (55 1) (101 1) (4 1) (1 1)}
jornalista,{(109 1) (12 1) (73 1) (76 1) (80 5) (53 1) (134 1) (97 1) (111 1) (124 1) (89 1) (74 1) (1 1)}
inglês,{(16 1) (137 1) (10 1) (1 1) (31 1)}
david,{(1 1)}
biller,{(1 1)}
ligados,{(112 1) (110 1) (131 1) (1 1)}
alma,{(19 1) (1 1)}
então,{(91 1) (137 1) (38 1) (84 1) (66 3) (5 1) (27 2) (51 1) (78 2) (97 1) (55 4) (66 7) (8 1) (70 1) (48 2) (1 1) (74 2) (63 1) (30 1) (76 1) (135 1) (99 1) (112 1) (69 1) (131 5) (59 1) (39 1) (6 1) (3 1) (80 3) (131 1) (16 1) (124 1) (121 1)}
tá,{(76 1) (88 1) (19 1) (1 1) (82 1)}
muitas,{(137 1) (2 1) (66 1) (130 1) (110 1) (74 1) (5 1) (71 2) (103 1) (8 1) (16 1) (75 1) (106 1) (89 2) (19 1) (50 1)}
pesquisas,{(80 1) (2 3) (54 1) (75 2) (131 1)}
divulgadas,{(2 1)}
semana,{(32 1) (27 1) (16 4) (71 1) (48 1) (2 3) (56 1) (133 1) (64 1) (77 1) (85 1) (70 1) (3 1) (52 1) (111 1) (60 1) (57 1) (124 1) (88 1) (4 1)}
mostrando,{(94 1) (60 1) (121 1) (70 1) (99 1) (2 1)}
queda,{(80 1) (94 1) (2 2) (104 1) (94 4) (91 2) (133 1)}
aprovação,{(16 6) (30 1) (131 2) (34 1) (66 1) (98 1) (125 1) (2 3) (60 1) (33 1) (63 1)}
bolsonaro,{(45 1) (108 2) (75 4) (71 1) (93 2) (51 1) (33 3) (84 2) (70 1) (51 4) (55 7) (12 3) (64 2) (74 2) (2 6) (28 10) (22 4) (89 1) (56 1) (115 1) (50 2) (115 4) (87 2) (81 2) (29 1) (55 1) (137 5) (23 4) (32 1) (9 1) (27 6) (61 1) (28 1) (97 1) (16 7) (94 6) (60 4) (123 1) (3 3) (104 2) (60 1) (119 1) (89 2) (124 7) (110 2) (66 4) (44 2) (30 1) (131 2) (40 1) (17 1) (71 7) (13 6) (76 2) (8 3) (39 1) (6 1) (30 2) (88 5) (49 1) (98 1) (103 7) (119 3) (75 1) (56 2) (4 3) (125 4)}
chamou,{(54 1) (6 1) (2 1) (80 1) (61 1) (11 1) (120 1) (27 2)}
atenção,{(32 1) (30 1) (2 1) (98 1) (48 1) (11 1) (66 3) (120 1) (115 1)}
ipespe,{(2 1) (2 2)}
procurou,{(2 1)}
saber,{(99 2) (108 1) (2 2) (70 1) (88 1) (66 2) (56 1) (68 1) (65 1)}
brasileiros,{(70 6) (58 3) (16 2) (2 1) (103 4) (61 1) (29 2) (89 1) (97 1) (31 1) (45 2) (41 1) (108 1) (15 2) (8 1) (20 2) (131 1) (75 3) (58 2) (78 1) (125 2) (89 2) (129 1)}
sentindo,{(2 1)}
neste,{(27 1) (99 1) (110 1) (6 2) (2 3) (28 1) (88 2) (95 1) (22 2) (33 3) (103 1) (3 1) (75 1) (56 2) (101 1) (22 1)}
momento,{(12 1) (9 1) (38 1) (35 1) (2 1) (15 1) (48 1) (110 1) (66 3) (74 1) (120 1) (126 1) (22 2) (33 3) (103 1) (34 1) (58 2) (28 2) (129 5) (119 1) (37 1) (100 2) (30 1) (54 2) (95 1) (8 3) (101 6) (6 1) (131 1) (16 1) (78 1) (75 1) (31 2) (55 1) (88 1) (19 1)}
vésperas,{(13 1) (2 1)}
governo,{(94 1) (137 1) (104 1) (13 4) (2 1) (54 5) (74 1) (87 1) (98 2) (5 1) (8 5) (97 1) (16 7) (31 1) (51 8) (12 2) (64 1) (41 1) (88 7) (70 1) (58 2) (115 2) (33 6) (60 1) (27 5) (89 2) (50 1) (6 4) (30 1) (71 3) (80 6) (111 2) (40 1) (55 11) (66 8) (75 2) (94 3) (49 2) (112 1) (125 1) (70 2) (2 3) (130 3) (110 3) (106 2) (45 2) (15 2) (28 11) (9 2) (20 2) (78 5) (3 1) (87 2) (29 1) (119 3) (124 1) (56 2) (22 1) (84 4) (103 2) (127 1)}
completar,{(13 1) (2 1) (71 1)}
100,{(13 1) (71 1) (2 2) (6 1) (84 1) (23 1) (25 2) (101 1) (63 1)}
dias,{(108 2) (71 1) (94 3) (53 1) (2 1) (55 2) (66 1) (63 2) (133 1) (69 1) (115 1) (100 1) (13 1) (62 1) (126 1) (105 1) (16 3) (60 1) (19 1) (103 2)}
resultado,{(13 1) (9 1) (81 1) (2 1) (98 1) (28 1) (25 1) (115 1) (33 1) (50 1)}
coluna,{(25 1) (55 1) (53 1) (51 1) (2 1)}
mônica,{(30 1) (121 1) (2 1)}
bergamo,{(121 1) (2 1)}
folha,{(93 1) (103 1) (72 1) (86 1) (2 1)}
maior,{(45 1) (91 1) (81 1) (130 1) (48 1) (88 2) (51 1) (31 1) (126 1) (123 1) (13 3) (8 1) (16 3) (116 1) (60 1) (2 2) (78 3) (129 1) (131 2) (54 2) (18 2) (20 1) (58 3) (66 1) (80 2) (121 2) (33 1) (133 3) (85 1) (52 1) (87 2) (56 2) (19 1) (68 1)}
parte,{(30 1) (75 2) (16 2) (2 1) (88 4) (125 1) (6 2) (28 1) (66 3) (89 1) (56 1) (115 1) (97 1) (18 1) (31 1) (64 1) (131 3) (40 2) (105 1) (8 1) (55 1) (70 1) (53 2) (58 2) (80 1) (121 1) (119 1) (19 1) (130 4)}
pessoas,{(78 10) (58 1) (84 1) (16 2) (92 3) (130 1) (87 1) (5 1) (54 1) (97 1) (31 1) (64 1) (77 1) (131 3) (88 7) (70 1) (48 2) (93 1) (2 2) (100 2) (86 1) (121 3) (74 2) (135 1) (75 2) (99 1) (20 1) (85 2) (88 1) (125 1) (82 1) (95 1) (13 1) (85 1) (6 1) (3 1) (110 4) (29 1) (66 13) (61 2) (4 3) (55 1) (42 1) (101 1)}
62,{(23 3) (86 2) (84 1) (2 1)}
diz,{(96 1) (55 5) (84 3) (122 1) (104 1) (17 1) (2 1) (56 3) (70 2) (93 2) (130 3) (54 1) (100 1) (31 1) (126 1) (80 10) (90 1) (101 6) (110 4) (3 1) (116 1) (131 1) (80 1) (38 2) (42 1)}
preocupada,{(2 1)}
envergonhada,{(2 1)}
indignada,{(2 1)}
triste,{(96 1) (41 1) (103 1) (104 1) (99 1) (2 1) (66 3) (120 1) (22 1)}
medo,{(131 2) (58 1) (40 1) (2 1) (93 2) (88 2) (54 1) (66 2) (100 1) (97 1) (109 2) (78 5) (103 1) (131 1) (55 1) (88 1) (75 6)}
hoje,{(97 2) (137 1) (41 2) (38 1) (84 1) (130 1) (15 1) (61 1) (110 1) (88 2) (57 2) (95 3) (123 1) (103 1) (8 1) (51 4) (93 1) (60 1) (106 1) (2 2) (89 2) (8 6) (66 4) (129 1) (96 1) (109 1) (30 1) (40 1) (66 8) (112 1) (23 1) (71 2) (80 7) (13 1) (105 1) (39 1) (6 1) (3 1) (52 1) (107 2) (131 1) (75 1) (42 1) (55 1) (101 1) (22 1) (65 1) (127 1)}
brasil,{(45 1) (12 1) (137 1) (109 3) (41 2) (93 2) (98 2) (133 1) (89 3) (100 1) (28 5) (131 3) (112 4) (16 3) (70 1) (12 6) (113 1) (115 2) (13 7) (130 2) (20 4) (78 4) (108 4) (51 3) (56 1) (4 2) (110 3) (101 2) (74 8) (3 1) (52 1) (29 1) (92 2) (31 2) (114 1) (9 1) (2 1) (55 9) (8 9) (119 2) (28 1) (125 3) (54 1) (64 1) (75 7) (123 1) (80 5) (88 16) (116 1) (58 2) (60 1) (119 1) (66 4) (129 1) (31 4) (99 1) (87 3) (81 3) (69 1) (95 1) (72 1) (6 1) (75 1) (124 1) (9 5) (103 2) (10 2)}
segundo,{(94 1) (91 1) (58 1) (84 1) (81 1) (2 1) (15 1) (48 1) (130 1) (110 1) (74 1) (87 1) (120 1) (133 1) (51 1) (18 1) (55 4) (64 1) (55 1) (116 1) (48 2) (34 1) (93 1) (11 1) (30 1) (73 1) (122 1) (99 1) (126 2) (80 2) (66 1) (70 2) (89 1) (56 1) (31 3) (110 3) (115 1) (105 1) (9 2) (85 1) (3 1) (131 1) (98 1) (29 1) (124 1) (121 1) (66 2) (19 1) (114 1)}
pesquisa,{(91 1) (9 1) (131 3) (116 2) (106 1) (87 1) (101 1) (2 5) (115 1) (33 1)}
realizada,{(110 1) (33 1) (2 1)}
outras,{(97 2) (4 1) (58 1) (122 1) (99 1) (16 2) (2 1) (81 1) (60 2) (66 2) (100 1) (129 2) (131 1) (33 4) (98 1) (78 1) (93 3) (5 2) (50 1)}
33,{(86 1) (2 1) (71 1)}
afirmam,{(89 1) (9 1) (2 1) (31 1)}
estar,{(96 1) (12 1) (58 1) (16 2) (2 1) (66 1) (110 1) (70 2) (5 1) (115 1) (101 2) (64 1) (77 1) (123 1) (72 1) (78 1) (124 1) (42 1) (55 1)}
esperançosas,{(2 1)}
alegres,{(2 1)}
tranquilas,{(2 1)}
;,{(28 5) (54 3) (131 2) (101 10) (109 3) (70 1) (99 1) (58 3) (80 2) (2 1) (89 1) (110 3) (97 1)}
2,{(105 1) (99 1) (2 1) (16 1) (80 1) (78 1) (121 1) (23 1) (51 1) (18 1) (31 1)}
dizem,{(62 1) (66 1) (2 1) (111 1) (93 1) (78 1) (31 2) (129 1)}
entusiasmadas,{(121 1) (2 1)}
apenas,{(45 1) (91 1) (129 3) (137 1) (2 1) (48 1) (124 2) (110 1) (5 1) (31 1) (64 1) (41 1) (136 1) (84 2) (16 3) (23 2) (58 2) (71 4) (89 2) (96 1) (109 1) (30 1) (27 1) (76 1) (40 1) (116 2) (75 2) (99 1) (20 1) (66 1) (56 1) (115 1) (33 1) (95 1) (126 3) (85 1) (80 3) (98 1) (54 4) (92 2) (3 4)}
1,{(58 1) (53 1) (17 1) (66 1) (16 1) (60 1) (89 1) (2 2) (5 1)}
orgulhosas,{(2 1)}
incluído,{(2 1) (15 1)}
gostaria,{(105 1) (2 1)}
conhecer,{(22 1) (137 1) (2 1) (55 1)}
motivos,{(94 1) (77 2) (135 1) (53 1) (52 1) (2 1) (66 1) (101 3) (28 1) (36 1) (31 1)}
grosso,{(55 2) (2 1) (18 1)}
modo,{(91 1) (130 2) (71 1) (66 1) (2 1) (98 2) (101 1) (54 1) (51 1) (18 1)}
reproduz,{(2 1)}
proporção,{(78 1) (115 1) (116 1) (2 1)}
terço,{(80 1) (66 1) (2 2)}
população,{(66 7) (13 1) (94 1) (45 2) (58 1) (80 4) (84 2) (16 1) (110 1) (115 2) (29 2) (125 2) (130 3) (2 2) (5 1)}
otimistas,{(2 1)}
votou,{(2 1)}
eleição,{(109 1) (131 2) (123 1) (104 1) (75 2) (3 1) (2 1) (61 1) (78 1) (88 1) (5 1) (4 1) (97 1)}
continua,{(62 1) (8 2) (94 3) (102 1) (2 1) (16 1) (60 1) (56 1) (4 1)}
fiel,{(97 1) (2 1)}
dois,{(9 1) (58 1) (71 1) (2 1) (28 8) (110 1) (120 1) (68 2) (133 1) (66 2) (97 1) (31 1) (16 3) (70 1) (6 3) (80 1) (115 2) (86 1) (4 1) (129 1) (30 1) (27 1) (131 2) (122 1) (99 1) (80 2) (101 2) (33 1) (95 1) (15 2) (72 1) (85 1) (55 1) (88 1)}
terços,{(80 1) (2 1)}
desalentados,{(2 1)}
constituem,{(2 1)}
soma,{(121 1) (2 1) (18 1)}
votaram,{(94 1) (2 3) (88 1) (54 1) (4 1)}
haddad,{(13 6) (2 1) (121 2)}
anularam,{(2 1)}
voto,{(126 1) (2 1) (129 1) (93 1) (56 1) (51 1) (97 1) (101 3)}
branco,{(80 1) (58 1) (103 1) (136 1) (51 1) (2 1)}
abstiveram,{(2 1)}
oficial,{(108 2) (103 1) (21 1) (99 1) (2 1) (112 1) (121 1) (5 1) (18 1)}
mercado,{(45 1) (40 2) (116 3) (136 2) (2 1) (58 2) (16 1) (66 1) (81 2) (125 1) (60 1) (133 1) (130 5) (31 1)}
reúne,{(16 1) (2 1) (31 1)}
bancos,{(58 5) (2 1)}
rentistas,{(2 1)}
encomendada,{(131 1) (2 1)}
corretora,{(2 2)}
xp,{(2 2)}
divulgada,{(136 1) (115 1) (116 1) (2 1)}
nesta,{(32 1) (30 1) (9 1) (58 1) (71 1) (40 1) (84 1) (20 1) (2 1) (15 1) (90 2) (23 1) (56 1) (68 2) (69 1) (115 1) (13 1) (123 1) (134 1) (116 1) (113 1) (29 1) (60 1) (63 1)}
sexta-feira,{(48 2) (2 1)}
mostra,{(96 1) (94 1) (8 1) (104 1) (2 1) (16 1) (92 1) (121 2) (18 1)}
popularidade,{(94 4) (2 1)}
janeiro,{(137 1) (104 1) (11 2) (99 1) (2 1) (66 1) (112 1) (6 2) (70 2) (133 1) (54 1) (78 2) (97 1) (18 1) (64 1) (55 1) (8 1) (21 1) (3 1) (131 1) (16 1) (115 2) (38 2) (121 1) (119 1) (4 1) (64 2)}
cá,{(78 1) (131 1) (2 1)}
índice,{(91 1) (9 1) (58 1) (104 1) (116 2) (2 1) (80 1) (4 1)}
caiu,{(94 1) (91 1) (104 1) (11 1) (89 1) (2 2) (115 1) (4 1)}
40,{(45 1) (58 1) (20 1) (84 1) (2 1) (23 3) (110 1) (121 3) (63 1)}
35,{(109 1) (45 1) (2 1) (23 1)}
instituto,{(80 3) (84 1) (116 1) (2 1) (16 1) (29 1) (48 1) (112 1) (55 1) (121 2) (51 1)}
big,{(113 1) (4 6) (2 2)}
data,{(3 2) (22 2) (126 1) (103 1) (53 1) (121 1) (2 2) (18 1)}
contratada,{(2 1)}
revista,{(131 1) (137 1) (2 1)}
veja,{(3 1) (10 1) (2 1) (131 1)}
período,{(80 6) (91 1) (137 1) (28 3) (2 1) (66 1) (89 1) (74 1) (116 3) (16 3) (51 4) (88 3) (75 1) (124 1) (89 2) (63 1)}
12,{(13 1) (45 1) (55 1) (53 1) (131 1) (80 2) (2 1) (93 1) (124 1) (23 1)}
pontos,{(91 1) (73 1) (58 1) (15 2) (94 3) (53 1) (104 1) (2 1) (91 7) (110 1) (114 6) (87 1) (86 1) (115 1) (114 1)}
percentuais,{(115 1) (2 1)}
50,{(109 1) (121 4) (70 1) (66 1) (2 1) (48 1) (110 1) (87 1) (56 1) (132 1) (31 1)}
38,{(48 1) (80 1) (92 1) (2 1)}
todas,{(33 2) (53 1) (2 1) (66 1) (5 1) (54 1) (100 1) (131 5) (77 1) (62 1) (87 5) (6 1) (98 1) (75 1) (124 1) (121 1) (42 1) (106 1) (129 1)}
mostram,{(89 2) (86 1) (41 1) (2 1)}
números,{(16 1) (80 1) (58 5) (101 1) (115 1) (2 1)}
semelhantes,{(124 1) (2 1)}
cerca,{(45 2) (84 3) (55 1) (20 1) (66 1) (85 3) (48 1) (87 1) (2 2) (51 1) (100 1)}
ainda,{(94 1) (71 1) (104 1) (16 2) (2 1) (81 1) (48 1) (107 1) (131 4) (25 1) (74 1) (133 1) (54 1) (66 2) (64 1) (129 2) (101 4) (33 3) (126 1) (8 1) (116 1) (113 1) (34 1) (93 1) (11 1) (60 1) (106 1) (119 1) (129 1) (131 2) (27 1) (8 2) (40 1) (78 4) (85 2) (66 1) (10 1) (23 1) (56 1) (69 1) (110 3) (115 1) (95 1) (13 1) (86 2) (105 1) (72 1) (121 5) (80 3) (60 3) (87 2) (51 2) (78 1) (121 1) (42 1) (55 1) (88 1) (68 1)}
acredita,{(27 1) (101 2) (66 1) (2 1) (130 1) (88 1) (51 1) (100 1)}
véspera,{(2 1)}
atlas,{(2 1)}
